DATUM;OPEN;HIGH;LOW;KOERS
2017-11-07;728.21;728.21;728.21;728.21000
2017-11-08;729;729;729;729.00000
2017-11-09;723.69;723.69;723.69;723.69000
2017-11-10;720.75;720.75;720.75;720.75000
2017-11-13;719;719;719;719.00000
2017-11-14;712.42;712.42;712.42;712.42000
2017-11-15;705.76;705.76;705.76;705.76000
2017-11-16;712.95;712.95;712.95;712.95000
2017-11-17;711.53;711.53;711.53;711.53000
2017-11-20;714.45;714.45;714.45;714.45000
2017-11-21;719.86;719.86;719.86;719.86000
2017-11-22;717.25;717.25;717.25;717.25000
2017-11-23;715.08;715.08;715.08;715.08000
2017-11-24;711.54;711.54;711.54;711.54000
2017-11-27;711.27;711.27;711.27;711.27000
2017-11-28;717.98;717.98;717.98;717.98000
2017-11-29;719.17;719.17;719.17;719.17000
2017-11-30;718.77;718.77;718.77;718.77000
2017-12-01;719.39;719.39;719.39;719.39000
2017-12-04;720.88;;;720.88000
2017-12-05;719.89;;;719.89000
2017-12-06;720.29;;;720.29000
2017-12-07;722.12;;;722.12000
2017-12-08;728.01;;;728.01000
2017-12-11;728.06;;;728.06000
2017-12-12;732.88;;;732.88000
2017-12-13;731.53;;;731.53000
2017-12-14;728.19;;;728.19000
2017-12-15;731.28;;;731.28000
2017-12-18;734.95;;;734.95000
2017-12-19;732.44;;;732.44000
2017-12-20;727.72;;;727.72000
2017-12-21;730.9;;;730.90000
2017-12-22;732.12;;;732.12000
2017-12-27;729.91;;;729.91000
2017-12-28;728.61;;;728.61000
2017-12-29;723.32;;;723.32000
2018-01-02;725.23;;;725.23000
2018-01-03;729.62;;;729.62000
2018-01-04;732.61;;;732.61000
2018-01-05;739.72;;;739.72000
2018-01-08;743.81;;;743.81000
2018-01-09;748.28;;;748.28000
2018-01-10;745.36;;;745.36000
2018-01-11;744.5;;;744.50000
2018-01-12;742.88;;;742.88000
2018-01-15;738.24;;;738.24000
2018-01-16;739.12;;;739.12000
2018-01-17;742.15;;;742.15000
2018-01-18;741.21;;;741.21000
2018-01-19;745.77;;;745.77000
2018-01-22;748.57;;;748.57000
2018-01-23;749.2;;;749.20000
2018-01-24;744.69;;;744.69000
2018-01-25;738.12;;;738.12000
2018-01-26;746.95;;;746.95000
2018-01-29;746.74;;;746.74000
2018-01-30;736.94;;;736.94000
2018-01-31;733.84;;;733.84000
2018-02-01;733.25;;;733.25000
2018-02-02;721.94;;;721.94000
2018-02-05;700.7;;;700.70000
2018-02-06;702.44;;;702.44000
2018-02-07;706.56;;;706.56000
2018-02-08;690.43;;;690.43000
2018-02-09;692.43;;;692.43000
2018-02-12;699.11;;;699.11000
2018-02-13;696.22;;;696.22000
2018-02-14;701.64;;;701.64000
2018-02-15;706.16;;;706.16000
2018-02-16;710.5;;;710.50000
2018-02-19;712.95;;;712.95000
2018-02-20;712.82;;;712.82000
2018-02-21;711.42;;;711.42000
2018-02-22;711.16;;;711.16000
2018-02-23;720.32;;;720.32000
2018-02-26;727.26;;;727.26000
2018-02-27;724.04;;;724.04000
2018-02-28;719.12;;;719.12000
2018-03-01;710.76;;;710.76000
2018-03-02;702.85;;;702.85000
2018-03-05;707.35;;;707.35000
2018-03-06;707.13;;;707.13000
2018-03-07;706.42;;;706.42000
2018-03-08;714;;;714.00000
2018-03-09;722.32;;;722.32000
2018-03-12;724.15;;;724.15000
2018-03-13;716.64;;;716.64000
2018-03-14;715.46;;;715.46000
2018-03-15;717.49;;;717.49000
2018-03-16;720.18;;;720.18000
